Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Source,EID
"Coyne M.D., Cook B.G., Therrien W.J.","Recommendations for Replication Research in Special Education: A Framework of Systematic, Conceptual Replications",2016,"Remedial and Special Education","37","4",,"244","253",,2,10.1177/0741932516648463,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977534144&doi=10.1177%2f0741932516648463&partnerID=40&md5=4d386ece53d00f8afd836d15788c3480","University of Connecticut, Storrs, United States; University of Hawaii, Honolulu, United States; University of Virginia, Charlottesville, United States","Coyne, M.D., University of Connecticut, Storrs, United States; Cook, B.G., University of Hawaii, Honolulu, United States; Therrien, W.J., University of Virginia, Charlottesville, United States","Special education researchers conduct studies that can be considered replications. However, they do not often refer to them as replication studies. The purpose of this article is to consider the potential benefits of conceptualizing special education intervention research within a framework of systematic, conceptual replication. Specifically, we advocate for the value and importance of replication research that includes both closely aligned and distal conceptual replications. We acknowledge the challenges associated with conducting replications in applied school-based research and also provide recommendations for how to design, conduct, and report replication studies in special education research with the goal of supporting the identification of effective practices for individuals with disabilities. © Hammill Institute on Disabilities 2016.","replication; research design; special education",Article,Scopus,2-s2.0-84977534144
[No author name available],"Responding to change in a challenging climate: 2015 five-year report of the Policy and Planning Board",2016,"American Psychologist","71","5",,"415","426",,,10.1037/amp0000016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989360038&doi=10.1037%2famp0000016&partnerID=40&md5=cbd6f6048a4263e2047ba6ce9a69e279",,"","The American Psychological Association (APA) Bylaws Article XI.7 (http://www.apa.org/ about/governance/bylaws/article-11.aspx) requires that the Policy and Planning Board report annually by publication to the membership and review the structure and function of the association as a whole every fifth year. This report details the board's 5-year review, including APA's challenges and achievements from 2011 through 2015 within the context of broader social and environmental changes. Recommended priorities for future change are offered. © 2016 American Psychological Association.",,Article,Scopus,2-s2.0-84989360038
"Cook B.G., Collins L.W., Cook S.C., Cook L.","A Replication by Any Other Name: A Systematic Review of Replicative Intervention Studies",2016,"Remedial and Special Education","37","4",,"223","234",,6,10.1177/0741932516637198,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977480383&doi=10.1177%2f0741932516637198&partnerID=40&md5=fabe21b83fb5142cfda8c5883c0a461f","University of Hawaii, Honolulu, United States","Cook, B.G., University of Hawaii, Honolulu, United States; Collins, L.W., University of Hawaii, Honolulu, United States; Cook, S.C., University of Hawaii, Honolulu, United States; Cook, L., University of Hawaii, Honolulu, United States","Replication research is essential to scientific knowledge. Reviews of replication studies often electronically search for replicat* as a textword, which does not identify studies that replicate previous research but do not self-identify as such. We examined whether the 83 intervention studies published in six non-categorical research journals in special education in 2013 and 2014 might be considered replications regardless of using the term replicat* by applying criteria related to (a) the stated purpose of the study and (b) comparing the findings of the study with the results of previous studies. We coded 26 intervention studies as replications. Authors of 17 of these studies reported that their findings solely agreed with the results of the original study(ies). Author overlap occurred for half of the replicative studies. The likelihood of findings being reproduced did not vary as a function of author overlap. We discuss implications and recommendations based on these findings. © Hammill Institute on Disabilities 2016.","evidence-based practice; quantitative; research methodology; single subject",Article,Scopus,2-s2.0-84977480383
"Czoty P.W., Stoops W.W., Rush C.R.","Evaluation of the “pipeline” for development of medications for cocaine use disorder: A review of translational preclinical, human laboratory, and clinical trial research",2016,"Pharmacological Reviews","68","3",,"533","562",,9,10.1124/pr.115.011668,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968627063&doi=10.1124%2fpr.115.011668&partnerID=40&md5=017b9024ef420844144e036c5b854768","Wake Forest School of Medicine, Winston-Salem, NC, United States; University of Kentucky, Lexington, KY, United States","Czoty, P.W., Wake Forest School of Medicine, Winston-Salem, NC, United States; Stoops, W.W., University of Kentucky, Lexington, KY, United States; Rush, C.R., University of Kentucky, Lexington, KY, United States","Cocaine use disorder is a persistent public health problem for which no widely effective medications exist. Self-administration procedures,which have shown good predictive validity in estimating the abuse potential of drugs, have been used in rodent, nonhuman primate, and human laboratory studies to screen putative medications. This review assessed the effectiveness of the medications development process regarding pharmacotherapies for cocaine use disorder. The primary objective was to determine whether data from animal and human laboratory self-administration studies predicted the results of clinical trials. Inaddition, the concordance between laboratory studies in animals and humans was assessed. More than 100 blinded, randomized, fully placebo-controlled studies of putative medications for cocaine use disorder were identified. Of the 64 drugs tested in these trials, only 10 had been examined in both human and well-controlled animal laboratory studies. Within all three stages, few studies had been conducted for each drug and when multiple studies had been conducted conclusions were sometimes contradictory. Overall, however, there was good concordance between animal and human laboratory results when the former assessed chronic drug treatment. Although only seven of the ten reviewed drugs showed fully concordant results across all three types of studies reviewed, the analysis revealed several subject-related, procedural, and environmental factors that differ between the laboratory and clinical trial settings that help explain the disagreement for other drugs. The review closes with several recommendations to enhance translation and communication across stages of the medications development process that will ultimately speed the progress toward effective pharmacotherapeutic strategies for cocaine use disorder. © 2016 by The American Society for Pharmacology and Experimental Therapeutics.",,Review,Scopus,2-s2.0-84968627063
"Rosen R.A., Guenther E.","The energy policy relevance of the 2014 IPCC Working Group III report on the macro-economics of mitigating climate change",2016,"Energy Policy","93",,,"330","334",,1,10.1016/j.enpol.2016.03.025,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961751160&doi=10.1016%2fj.enpol.2016.03.025&partnerID=40&md5=bb90c0fa2fe1f2c1336e6f1667672f8a","20 Marshal St., Brookline, MA, United States; TU Dresden, Dresden, Germany","Rosen, R.A., 20 Marshal St., Brookline, MA, United States; Guenther, E., TU Dresden, Dresden, Germany","Research which attempted to determine the macroeconomic importance of mitigating climate change through 2100 was presented primarily in Chapter 6 of the 2014 IPCC Working Group III report. Some of the findings of this chapter were then summarized in the Summary for Policy Makers (SPMs) of both the Synthesis Report, and the WGIII report. Unfortunately, these SPMs omitted key aspects of what the overall macroeconomic results for the costs and benefits of mitigating climate change actually did and did not include, how they were produced, and a careful assessment of their uncertainty and scientific validity. Yet, many of the major omissions were acknowledged deep in the text of Chapter 6, but were not revealed to the public. We conclude, therefore, that neither of these SPMs was useful for energy policy makers and energy managers, and they were misleading due to their many key omissions. Finally, we recommend several improvements that can be made to integrated assessment modeling methodologies so that the macroeconomic analysis of mitigating climate change resulting from the use of such models can be more relevant and useful to energy policy makers in the future, and can be communicated to them better. © 2016 Elsevier Ltd.","Climate change; Cost/benefit analysis; Energy policy; IPCC WGIII Report; Macroeconomics; Mitigation",Article,Scopus,2-s2.0-84961751160
"Dienes Z.","How Bayes factors change scientific practice",2016,"Journal of Mathematical Psychology","72",,,"78","89",,9,10.1016/j.jmp.2015.10.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953311076&doi=10.1016%2fj.jmp.2015.10.003&partnerID=40&md5=dce57c72761e22ef593f8c36a647ea1d","School of Psychology, University of Sussex, Brighton, United Kingdom; Sackler Centre for Consciousness Science, University of Sussex, United Kingdom","Dienes, Z., School of Psychology, University of Sussex, Brighton, United Kingdom, Sackler Centre for Consciousness Science, University of Sussex, United Kingdom","Bayes factors provide a symmetrical measure of evidence for one model versus another (e.g. H1 versus H0) in order to relate theory to data. These properties help solve some (but not all) of the problems underlying the credibility crisis in psychology. The symmetry of the measure of evidence means that there can be evidence for H0 just as much as for H1; or the Bayes factor may indicate insufficient evidence either way. P-values cannot make this three-way distinction. Thus, Bayes factors indicate when the data count against a theory (and when they count for nothing); and thus they indicate when replications actually support H0 or H1 (in ways that power cannot). There is every reason to publish evidence supporting the null as going against it, because the evidence can be measured to be just as strong either way (thus the published record can be more balanced). Bayes factors can be B-hacked but they mitigate the problem because a) they allow evidence in either direction so people will be less tempted to hack in just one direction; b) as a measure of evidence they are insensitive to the stopping rule; c) families of tests cannot be arbitrarily defined; and d) falsely implying a contrast is planned rather than post hoc becomes irrelevant (though the value of pre-registration is not mitigated). © 2015 Elsevier Inc.","Bayes factor; Confidence interval; Multiple comparisons; Null hypothesis; Planned vs post hoc; Stopping rule",Article,Scopus,2-s2.0-84953311076
"Ebersole C.R., Axt J.R., Nosek B.A.","Scientists’ Reputations Are Based on Getting It Right, Not Being Right",2016,"PLoS Biology","14","5", e1002460,"","",,2,10.1371/journal.pbio.1002460,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971636078&doi=10.1371%2fjournal.pbio.1002460&partnerID=40&md5=6ad1c7fc19f577029ade4110a1b99f39","University of Virginia, Psychology Department, Charlottesville, VA, United States; Center for Open Science, Charlottesville, VA, United States","Ebersole, C.R., University of Virginia, Psychology Department, Charlottesville, VA, United States; Axt, J.R., University of Virginia, Psychology Department, Charlottesville, VA, United States; Nosek, B.A., University of Virginia, Psychology Department, Charlottesville, VA, United States, Center for Open Science, Charlottesville, VA, United States","Replication is vital for increasing precision and accuracy of scientific claims. However, when replications “succeed” or “fail,” they could have reputational consequences for the claim’s originators. Surveys of United States adults (N = 4,786), undergraduates (N = 428), and researchers (N = 313) showed that reputational assessments of scientists were based more on how they pursue knowledge and respond to replication evidence, not whether the initial results were true. When comparing one scientist that produced boring but certain results with another that produced exciting but uncertain results, opinion favored the former despite researchers’ belief in more rewards for the latter. Considering idealized views of scientific practices offers an opportunity to address incentives to reward both innovation and verification. © 2016 Ebersole et al.",,Article,Scopus,2-s2.0-84971636078
"Kidwell M.C., Lazarević L.B., Baranski E., Hardwicke T.E., Piechowski S., Falkenberg L.-S., Kennett C., Slowik A., Sonnleitner C., Hess-Holden C., Errington T.M., Fiedler S., Nosek B.A.","Badges to Acknowledge Open Practices: A Simple, Low-Cost, Effective Method for Increasing Transparency",2016,"PLoS Biology","14","5", e1002456,"","",,22,10.1371/journal.pbio.1002456,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971616781&doi=10.1371%2fjournal.pbio.1002456&partnerID=40&md5=934b6d50f5968f5bfa5929dd4b9527c3","Center for Open Science, Charlottesville, VA, United States; University of Belgrade, Belgrade, Serbia; University of California, Riverside, Riverside, CA, United States; University College London, London, United Kingdom; Max Planck Institute for Research on Collective Goods, Bonn, Germany; Mississippi State University, Starkville, MS, United States; University of Vienna, Vienna, Austria; University of Virginia, Charlottesville, VA, United States","Kidwell, M.C., Center for Open Science, Charlottesville, VA, United States; Lazarević, L.B., University of Belgrade, Belgrade, Serbia; Baranski, E., University of California, Riverside, Riverside, CA, United States; Hardwicke, T.E., University College London, London, United Kingdom; Piechowski, S., Max Planck Institute for Research on Collective Goods, Bonn, Germany; Falkenberg, L.-S., Max Planck Institute for Research on Collective Goods, Bonn, Germany; Kennett, C., Mississippi State University, Starkville, MS, United States; Slowik, A., University of Vienna, Vienna, Austria; Sonnleitner, C., University of Vienna, Vienna, Austria; Hess-Holden, C., Mississippi State University, Starkville, MS, United States; Errington, T.M., Center for Open Science, Charlottesville, VA, United States; Fiedler, S., Max Planck Institute for Research on Collective Goods, Bonn, Germany; Nosek, B.A., Center for Open Science, Charlottesville, VA, United States, University of Virginia, Charlottesville, VA, United States","Beginning January 2014, Psychological Science gave authors the opportunity to signal open data and materials if they qualified for badges that accompanied published articles. Before badges, less than 3% of Psychological Science articles reported open data. After badges, 23% reported open data, with an accelerating trend; 39% reported open data in the first half of 2015, an increase of more than an order of magnitude from baseline. There was no change over time in the low rates of data sharing among comparison journals. Moreover, reporting openness does not guarantee openness. When badges were earned, reportedly available data were more likely to be actually available, correct, usable, and complete than when badges were not earned. Open materials also increased to a weaker degree, and there was more variability among comparison journals. Badges are simple, effective signals to promote open practices and improve preservation of data and materials by using independent repositories. © 2016 Kidwell et al.",,Article,Scopus,2-s2.0-84971616781
"Fagerström K., Hughes J.R.","Why not publish all research that passes review?",2016,"Addiction","111","5",,"939","940",,1,10.1111/add.13334,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962648412&doi=10.1111%2fadd.13334&partnerID=40&md5=0596a632303475fd5ede8edde30a348c","Fagerström Consulting, Vaxholm, Sweden; Center for Behavior and Health, Department of Psychiatry, University of Vermont, Burlington, VT, United States","Fagerström, K., Fagerström Consulting, Vaxholm, Sweden; Hughes, J.R., Center for Behavior and Health, Department of Psychiatry, University of Vermont, Burlington, VT, United States",[No abstract available],"Harm reduction; Publication bias; Tobacco control; Tobacco regulation",Letter,Scopus,2-s2.0-84962648412
"Moher D., Glasziou P., Chalmers I., Nasser M., Bossuyt P.M.M., Korevaar D.A., Graham I.D., Ravaud P., Boutron I.","Increasing value and reducing waste in biomedical research: Who's listening?",2016,"The Lancet","387","10027",,"1573","1586",,20,10.1016/S0140-6736(15)00307-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945577445&doi=10.1016%2fS0140-6736%2815%2900307-4&partnerID=40&md5=3517558c74260d60447a38f62ab4e883","Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, ON, Canada; School of Epidemiology, Public Health and Preventive Medicine, University of Ottawa, Ottawa, ON, Canada; Centre for Research in Evidence Based Practice, Bond University, Robina, QLD, Australia; James Lind Initiative, Oxford, United Kingdom; Peninsula Dental School, Plymouth University, Plymouth, United Kingdom; Department of Clinical Epidemiology Biostatistics and Bioinformatics, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; METHODS Team, Centre of Research in Epidemiology and Statistics Sorbonne Paris Cité, UMR 1153, Institut National de la Santé et de la Recherche Médicale, University Paris Descartes, Paris, France","Moher, D., Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, ON, Canada, School of Epidemiology, Public Health and Preventive Medicine, University of Ottawa, Ottawa, ON, Canada; Glasziou, P., Centre for Research in Evidence Based Practice, Bond University, Robina, QLD, Australia; Chalmers, I., James Lind Initiative, Oxford, United Kingdom; Nasser, M., Peninsula Dental School, Plymouth University, Plymouth, United Kingdom; Bossuyt, P.M.M., Department of Clinical Epidemiology Biostatistics and Bioinformatics, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Korevaar, D.A., Department of Clinical Epidemiology Biostatistics and Bioinformatics, Academic Medical Center, University of Amsterdam, Amsterdam, Netherlands; Graham, I.D., Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, ON, Canada, School of Epidemiology, Public Health and Preventive Medicine, University of Ottawa, Ottawa, ON, Canada; Ravaud, P., METHODS Team, Centre of Research in Epidemiology and Statistics Sorbonne Paris Cité, UMR 1153, Institut National de la Santé et de la Recherche Médicale, University Paris Descartes, Paris, France; Boutron, I., METHODS Team, Centre of Research in Epidemiology and Statistics Sorbonne Paris Cité, UMR 1153, Institut National de la Santé et de la Recherche Médicale, University Paris Descartes, Paris, France","The biomedical research complex has been estimated to consume almost a quarter of a trillion US dollars every year. Unfortunately, evidence suggests that a high proportion of this sum is avoidably wasted. In 2014, The Lancet published a series of five reviews showing how dividends from the investment in research might be increased from the relevance and priorities of the questions being asked, to how the research is designed, conducted, and reported. 17 recommendations were addressed to five main stakeholders - funders, regulators, journals, academic institutions, and researchers. This Review provides some initial observations on the possible effects of the Series, which seems to have provoked several important discussions and is on the agendas of several key players. Some examples of individual initiatives show ways to reduce waste and increase value in biomedical research. This momentum will probably move strongly across stakeholder groups, if collaborative relationships evolve between key players; further important work is needed to increase research value. A forthcoming meeting in Edinburgh, UK, will provide an initial forum within which to foster the collaboration needed. © 2016 Elsevier Ltd.",,Review,Scopus,2-s2.0-84945577445
"Aberson C.L.","Strange results and implausible correlations in Croucher (2013)",2016,"Communication Monographs","83","2",,"264","268",,,10.1080/03637751.2015.1119865,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954483565&doi=10.1080%2f03637751.2015.1119865&partnerID=40&md5=67624feb8c905787d03d89a5efe63600","Department of Psychology, Humboldt State University, Arcata, CA, United States","Aberson, C.L., Department of Psychology, Humboldt State University, Arcata, CA, United States","This comment addresses inconsistencies in Croucher (2013) that, taken as a whole, suggest that the results presented in the paper are implausible. Specifically, I address how the direction of relationships is opposite that found in the vast majority of work focused on the relationship between contact experiences and threat. Additionally, the magnitude of observed relationships falls well outside those observed in previous studies. Finally, I demonstrate that reported correlations produce impossible relationships between variables, suggesting substantial errors in the presentation of results. © 2016 National Communication Association.","Integrated Threat Theory; intergroup contact; Intergroup Threat Theory; Islam; reproducibility",Article,Scopus,2-s2.0-84954483565
"Larson M.J.","Commitment to Cutting-Edge Research with Rigor and Replication in Psychophysiological Science",2016,"International Journal of Psychophysiology","102",,,"ix","x",,3,10.1016/S0167-8760(16)30038-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964671912&doi=10.1016%2fS0167-8760%2816%2930038-1&partnerID=40&md5=40c43f95e6a74eda90f7f9ac55d1dbf4","Brigham Young University Department of Psychology, Provo, UT, United States; Brigham Young University Neuroscience Center, Provo, UT, United States","Larson, M.J., Brigham Young University Department of Psychology, Provo, UT, United States, Brigham Young University Neuroscience Center, Provo, UT, United States",[No abstract available],,Editorial,Scopus,2-s2.0-84964671912
"Steckler T., Curran H.V., De Wit H., Howes O., Hoyer D., Lucki I., Miczek K.A., Morrow A.L., Price L.H., Robbins T.W.","Editorial: Reporting guidelines for psychopharmacology",2016,"Psychopharmacology","233","7",,"1131","1134",,,10.1007/s00213-016-4252-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961884154&doi=10.1007%2fs00213-016-4252-7&partnerID=40&md5=45badca2f993825f2d8a8ab9fddda7c0","Janssen Research and Development, Turnhoutseweg 30, Beerse, Belgium; Clinical Psychopharmacology Unit, University College London, London, United Kingdom; Department of Psychiatry and Behavioral Neuroscience, University of Chicago, Chicago, IL, United States; MRC Clinical Sciences Centre, Imperial College Hammersmith Campus, London, United Kingdom; Institute of Psychiatry Psychology and Neuroscience, King's College London, 16 De Crespigny Park, London, United Kingdom; Department of Pharmacology and Therapeutics, School of Biomedical Sciences, Faculty of Medicine, Dentistry and Health Sciences, University of Melbourne, Parkville, VIC, Australia; Florey Institute of Neuroscience and Mental Health, University of Melbourne, 30 Royal Parade, Parkville, VIC, Australia; Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States; Department of Pharmacology, University of Pennsylvania, Philadelphia, PA, United States; Department of Psychology, Tufts University, Bacon Hall, Medford, MA, United States; Department of Neuroscience, Tufts University, Bacon Hall, Medford, MA, United States; Department of Pharmacology, Tufts University, Bacon Hall, Medford, MA, United States; Department of Psychiatry, Tufts University, Bacon Hall, Medford, MA, United States; Department of Psychiatry, Bowles Center for Alcohol Studies, University of NC School of Medicine, Chapel Hill, NC, United States; Department of Pharmacology, Bowles Center for Alcohol Studies, University of NC School of Medicine, Chapel Hill, NC, United States; Department of Psychiatry and Human Behavior, Alpert Medical School, Brown University, Providence, RI, United States; Butler Hospital, 345 Blackstone Blvd, Providence, RI, United States; Department of Psychology, University of Cambridge, Downing Street, Cambridge, United Kingdom; MRC and Wellcome Trust Behavioural and Clinical Neuroscience Institute, University of Cambridge, Cambridge, United Kingdom","Steckler, T., Janssen Research and Development, Turnhoutseweg 30, Beerse, Belgium; Curran, H.V., Clinical Psychopharmacology Unit, University College London, London, United Kingdom; De Wit, H., Department of Psychiatry and Behavioral Neuroscience, University of Chicago, Chicago, IL, United States; Howes, O., MRC Clinical Sciences Centre, Imperial College Hammersmith Campus, London, United Kingdom, Institute of Psychiatry Psychology and Neuroscience, King's College London, 16 De Crespigny Park, London, United Kingdom; Hoyer, D., Department of Pharmacology and Therapeutics, School of Biomedical Sciences, Faculty of Medicine, Dentistry and Health Sciences, University of Melbourne, Parkville, VIC, Australia, Florey Institute of Neuroscience and Mental Health, University of Melbourne, 30 Royal Parade, Parkville, VIC, Australia; Lucki, I., Department of Psychiatry, University of Pennsylvania, Philadelphia, PA, United States, Department of Pharmacology, University of Pennsylvania, Philadelphia, PA, United States; Miczek, K.A., Department of Psychology, Tufts University, Bacon Hall, Medford, MA, United States, Department of Neuroscience, Tufts University, Bacon Hall, Medford, MA, United States, Department of Pharmacology, Tufts University, Bacon Hall, Medford, MA, United States, Department of Psychiatry, Tufts University, Bacon Hall, Medford, MA, United States; Morrow, A.L., Department of Psychiatry, Bowles Center for Alcohol Studies, University of NC School of Medicine, Chapel Hill, NC, United States, Department of Pharmacology, Bowles Center for Alcohol Studies, University of NC School of Medicine, Chapel Hill, NC, United States; Price, L.H., Department of Psychiatry and Human Behavior, Alpert Medical School, Brown University, Providence, RI, United States, Butler Hospital, 345 Blackstone Blvd, Providence, RI, United States; Robbins, T.W., Department of Psychology, University of Cambridge, Downing Street, Cambridge, United Kingdom, MRC and Wellcome Trust Behavioural and Clinical Neuroscience Institute, University of Cambridge, Cambridge, United Kingdom",[No abstract available],,Review,Scopus,2-s2.0-84961884154
"Hung L.-H., Kristiyanto D., Lee S.B., Yeung K.Y.","GUIdock: Using Docker containers with a common graphics user interface to address the reproducibility of research",2016,"PLoS ONE","11","4", e0152686,"","",,2,10.1371/journal.pone.0152686,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962901024&doi=10.1371%2fjournal.pone.0152686&partnerID=40&md5=0c404a406b6c78c0b41bdc1562ee0eee","Institute of Technology, University of Washington, Tacoma, WA, United States","Hung, L.-H., Institute of Technology, University of Washington, Tacoma, WA, United States; Kristiyanto, D., Institute of Technology, University of Washington, Tacoma, WA, United States; Lee, S.B., Institute of Technology, University of Washington, Tacoma, WA, United States; Yeung, K.Y., Institute of Technology, University of Washington, Tacoma, WA, United States","Reproducibility is vital in science. For complex computational methods, it is often necessary, not just to recreate the code, but also the software and hardware environment to reproduce results. Virtual machines, and container software such as Docker, make it possible to reproduce the exact environment regardless of the underlying hardware and operating system. However, workflows that use Graphical User Interfaces (GUIs) remain difficult to replicate on different host systems as there is no high level graphical software layer common to all platforms. GUIdock allows for the facile distribution of a systems biology application along with its graphics environment. Complex graphics based workflows, ubiquitous in systems biology, can now be easily exported and reproduced on many different platforms. GUIdock uses Docker, an open source project that provides a container with only the absolutely necessary software dependencies and configures a common X Windows (X11) graphic interface on Linux, Macintosh and Windows platforms. As proof of concept, we present a Docker package that contains a Bioconductor application written in R and C++ called networkBMA for gene network inference. Our package also includes Cytoscape, a Java-based platform with a graphical user interface for visualizing and analyzing gene networks, and the CyNetworkBMA app, a Cytoscape app that allows the use of networkBMA via the user-friendly Cytoscape interface. © 2016 Hung et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,Scopus,2-s2.0-84962901024
"Bligaard T., Bullock R.M., Campbell C.T., Chen J.G., Gates B.C., Gorte R.J., Jones C.W., Jones W.D., Kitchin J.R., Scott S.L.","Toward Benchmarking in Catalysis Science: Best Practices, Challenges, and Opportunities",2016,"ACS Catalysis","6","4",,"2590","2602",,11,10.1021/acscatal.6b00183,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963599520&doi=10.1021%2facscatal.6b00183&partnerID=40&md5=b636c5a5cc99d0a71ae419e1fbe27929","SUNCAT - Center for Interface Science and Catalysis, SLAC National Accelerator Laboratory, Menlo Park, CA, United States; Center for Molecular Electrocatalysis, Pacific Northwest National Laboratory, Richland, WA, United States; Department of Chemistry, University of Washington, Box 351700, Seattle, WA, United States; Department of Chemical Engineering, Columbia University, New York, NY, United States; Chemistry Department, Brookhaven National Laboratory, Upton, NY, United States; Department of Chemical Engineering and Materials Science, University of California, Davis, CA, United States; Department of Chemical and Biomolecular Engineering, University of Pennsylvania, Philadelphia, PA, United States; School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, 311 Ferst Drive NW, Atlanta, GA, United States; Department of Chemistry, University of Rochester, Rochester, NY, United States; Department of Chemical Engineering, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA, United States; Department of Chemical Engineering, University of California, Santa Barbara, CA, United States","Bligaard, T., SUNCAT - Center for Interface Science and Catalysis, SLAC National Accelerator Laboratory, Menlo Park, CA, United States; Bullock, R.M., Center for Molecular Electrocatalysis, Pacific Northwest National Laboratory, Richland, WA, United States; Campbell, C.T., Department of Chemistry, University of Washington, Box 351700, Seattle, WA, United States; Chen, J.G., Department of Chemical Engineering, Columbia University, New York, NY, United States, Chemistry Department, Brookhaven National Laboratory, Upton, NY, United States; Gates, B.C., Department of Chemical Engineering and Materials Science, University of California, Davis, CA, United States; Gorte, R.J., Department of Chemical and Biomolecular Engineering, University of Pennsylvania, Philadelphia, PA, United States; Jones, C.W., School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, 311 Ferst Drive NW, Atlanta, GA, United States; Jones, W.D., Department of Chemistry, University of Rochester, Rochester, NY, United States; Kitchin, J.R., Department of Chemical Engineering, Carnegie Mellon University, 5000 Forbes Avenue, Pittsburgh, PA, United States; Scott, S.L., Department of Chemical Engineering, University of California, Santa Barbara, CA, United States","Benchmarking is a community-based and (preferably) community-driven activity involving consensus-based decisions on how to make reproducible, fair, and relevant assessments. In catalysis science, important catalyst performance metrics include activity, selectivity, and the deactivation profile, which enable comparisons between new and standard catalysts. Benchmarking also requires careful documentation, archiving, and sharing of methods and measurements, to ensure that the full value of research data can be realized. Beyond these goals, benchmarking presents unique opportunities to advance and accelerate understanding of complex reaction systems by combining and comparing experimental information from multiple, in situ and operando techniques with theoretical insights derived from calculations characterizing model systems. This Perspective describes the origins and uses of benchmarking and its applications in computational catalysis, heterogeneous catalysis, molecular catalysis, and electrocatalysis. It also discusses opportunities and challenges for future developments in these fields. © 2016 American Chemical Society.","benchmarking; catalytic performance; computational catalysis; electrocatalysis; heterogeneous catalysis; molecular catalysis",Review,Scopus,2-s2.0-84963599520
"Jarvis M.F., Williams M.","Irreproducibility in Preclinical Biomedical Research: Perceptions, Uncertainties, and Knowledge Gaps",2016,"Trends in Pharmacological Sciences","37","4",,"290","302",,7,10.1016/j.tips.2015.12.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954285504&doi=10.1016%2fj.tips.2015.12.001&partnerID=40&md5=6407aeaef548f7456d62a0d7cd2aef75","AbbVie, North Chicago, IL, United States; Department of Pharmacology, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States","Jarvis, M.F., AbbVie, North Chicago, IL, United States; Williams, M., Department of Pharmacology, Feinberg School of Medicine, Northwestern University, Chicago, IL, United States","Concerns regarding the reliability of biomedical research outcomes were precipitated by two independent reports from the pharmaceutical industry that documented a lack of reproducibility in preclinical research in the areas of oncology, endocrinology, and hematology. Given their potential impact on public health, these concerns have been extensively covered in the media. Assessing the magnitude and scope of irreproducibility is limited by the anecdotal nature of the initial reports and a lack of quantitative data on specific failures to reproduce published research. Nevertheless, remediation activities have focused on needed enhancements in transparency and consistency in the reporting of experimental methodologies and results. While such initiatives can effectively bridge knowledge gaps and facilitate best practices across established and emerging research disciplines and therapeutic areas, concerns remain on how these improve on the historical process of independent replication in validating research findings and their potential to inhibit scientific innovation. © 2015 Elsevier Ltd. All rights reserved.","replication; reproducibility",Review,Scopus,2-s2.0-84954285504
